iter	Logloss
573	0.07623846023
574	0.07606963962
575	0.07602507393
576	0.07597231538
577	0.07593348586
578	0.07589128438
579	0.07576437747
580	0.07560787596
581	0.07555460834
582	0.07548470792
583	0.0752989084
584	0.07518196775
585	0.07509604648
586	0.07503305036
587	0.0749802755
588	0.07486822748
589	0.07480403521
590	0.07469259036
591	0.07467243091
592	0.07462074925
593	0.07449668185
594	0.07428136197
595	0.07417798467
596	0.07412936502
597	0.07403365417
598	0.0739293907
599	0.07386133953
600	0.07371008046
601	0.07365927052
602	0.07357883734
603	0.07350863642
604	0.07338249309
605	0.0732969637
606	0.07324390161
607	0.0732012432
608	0.0731559133
609	0.07311390978
610	0.07308932947
611	0.07304667194
612	0.07297995075
613	0.07294623287
614	0.07282965989
615	0.07269738397
616	0.07262633852
617	0.07251990691
618	0.07234133643
619	0.07229025244
620	0.07214550489
621	0.07209953138
622	0.07201420786
623	0.07196312552
624	0.07188741309
625	0.07181949195
626	0.07170068197
627	0.07154548103
628	0.07151268872
629	0.07146524252
630	0.07133309048
631	0.0712675865
632	0.0712174991
633	0.07116984
634	0.07111309441
635	0.07102664873
636	0.07094686668
637	0.07091425387
638	0.07087065188
639	0.07080859699
640	0.07075730676
641	0.07059904691
642	0.07047924614
643	0.07045286149
644	0.07039954545
645	0.07036310676
646	0.07028407593
647	0.07024380016
648	0.07018782412
649	0.07011350934
650	0.07006661022
651	0.06998480833
652	0.06992318827
653	0.06988846214
654	0.06978484252
655	0.069741572
656	0.06964755215
657	0.06961266991
658	0.06954110053
659	0.06949839248
660	0.06937959374
661	0.06933674528
662	0.06928862791
663	0.0692446887
664	0.06917591109
665	0.0691264744
666	0.06909419471
667	0.06903126453
668	0.06899950382
669	0.06896519589
670	0.06892572495
671	0.06889297805
672	0.06881950403
673	0.06876989008
674	0.06873025831
675	0.06862684149
676	0.06851076003
677	0.06838155913
678	0.06833417082
679	0.06828816491
680	0.06819637969
681	0.06812996233
682	0.06798894901
683	0.06794982622
684	0.06788964532
685	0.06782388789
686	0.06772806959
687	0.06754305395
688	0.06752195289
689	0.06744545288
690	0.06739818588
691	0.06736646155
692	0.06725645232
693	0.06721603185
694	0.06717782943
695	0.06710538367
696	0.06706256169
697	0.06700276919
698	0.06696225021
699	0.06691136199
700	0.06677525639
701	0.06674178667
702	0.06670829989
703	0.06668183856
704	0.06660983279
705	0.066574573
706	0.06650945781
707	0.06643989234
708	0.06630920922
709	0.06617226246
710	0.06614655994
711	0.06605830318
712	0.0659950711
713	0.06590903051
714	0.06588851859
715	0.06581506499
716	0.06576408618
717	0.06571269742
718	0.06564982252
719	0.06559047629
720	0.06554768199
721	0.06552913073
722	0.06546443525
723	0.06540491689
724	0.06528880491
725	0.06525348622
726	0.06523915795
727	0.06519849265
728	0.06506595892
729	0.06502694353
730	0.06499221891
731	0.06496156117
732	0.06479905189
733	0.06474947986
734	0.06471018651
735	0.06466057217
736	0.06458829512
737	0.06451841725
738	0.06441308914
739	0.06431610565
740	0.06427862007
741	0.06424471626
742	0.06417289328
743	0.06414637765
744	0.06408132375
745	0.06405559445
746	0.064032148
747	0.06398177929
748	0.06381045108
749	0.06368636195
750	0.06362175964
751	0.06357114037
